Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1304.6079170997098
FDW14,OUT017,1416.795151208914
NCN55,OUT010,577.7340633685986
FDQ58,OUT017,2547.16564219211
FDY38,OUT027,6122.462138671633
FDH56,OUT046,1884.5473362291998
FDL48,OUT018,619.704006478349
FDC48,OUT027,2242.0366795438317
FDN33,OUT045,1483.7503937623167
FDA36,OUT017,3183.5050959630685
FDT44,OUT017,1894.2930423282965
FDQ56,OUT045,1317.1258147263525
NCC54,OUT019,587.9125872174593
FDU11,OUT049,2043.9295570903178
DRL59,OUT013,805.5378960909236
FDM24,OUT049,2424.9634611650017
FDI57,OUT045,3101.6642762826664
DRC12,OUT018,2864.021172527998
NCM42,OUT027,2699.786382552262
FDA46,OUT010,539.0241956984219
FDA31,OUT013,2843.7059804037385
NCJ31,OUT035,3842.907682131617
FDG52,OUT046,768.9426441914716
NCL19,OUT019,362.39877292897364
FDS10,OUT035,3022.2435397035306
FDX22,OUT010,579.0866834511124
NCF19,OUT035,848.9136902849734
NCE06,OUT046,2541.186240264474
DRC27,OUT046,3892.8674543537322
FDE21,OUT035,1986.5448308507282
NCR42,OUT019,44.547050753647724
FDX51,OUT018,2849.1512215579332
NCR06,OUT018,455.65255947954705
FDU31,OUT027,5625.5051060216965
FDU59,OUT017,2562.7074729766186
FDR03,OUT027,5289.761666682602
FDS49,OUT027,2238.461487187675
FDD48,OUT010,400.2985876284444
NCF18,OUT017,3170.805736462242
NCD43,OUT027,2696.221741784093
NCD54,OUT018,1699.463224077407
FDY19,OUT010,372.2301206027229
NCY54,OUT017,2835.1348896821182
NCL19,OUT018,2189.8465195507265
FDP23,OUT010,563.8880298992339
FDC26,OUT013,1797.1191638924392
FDR14,OUT010,-6.527743311844887
NCS41,OUT035,3248.423187727521
FDF41,OUT035,3844.255458075943
FDU34,OUT046,2006.3481341576503
DRH11,OUT046,895.0952089708405
FDM03,OUT013,1630.492213572082
FDS31,OUT017,3055.985824291483
FDJ20,OUT017,2032.302005077359
FDV44,OUT027,5211.934485218076
FDG02,OUT049,3086.2539057846284
FDA09,OUT013,2997.444677361952
FDT04,OUT013,640.3108431463219
FDL58,OUT019,126.73964936492233
FDE52,OUT045,1369.512100673299
FDW12,OUT035,2557.4939753649674
FDL51,OUT017,3629.065186898045
NCY42,OUT027,3198.439817066351
FDR07,OUT017,1375.0960764259453
FDN40,OUT045,2354.171095550761
FDB35,OUT027,2546.495168429467
FDA22,OUT017,2663.1245182503953
NCL06,OUT046,4097.39003094248
FDI35,OUT013,2993.2272794781707
NCW42,OUT045,3652.0616755749024
NCX06,OUT049,3046.9800521231373
FDC37,OUT027,2707.921904249679
FDZ14,OUT018,1753.2933849512867
DRG49,OUT049,3973.0255836724336
NCG06,OUT045,3905.8189215162683
DRC36,OUT045,2843.3156095103545
FDV21,OUT019,316.4423167377812
FDB53,OUT046,2473.3804035790577
DRP47,OUT019,827.3627434819834
FDA14,OUT013,2462.7598553926255
DRC24,OUT035,2590.8332027617
FDW21,OUT018,1361.3581150087084
NCH29,OUT046,1556.1784425127125
FDU58,OUT013,3126.6410983959095
FDY27,OUT017,2948.484404320719
FDV56,OUT035,1768.3916011191448
FDT59,OUT046,3924.2927886095063
FDB23,OUT046,3248.660303012118
FDR49,OUT045,737.1510960002489
