Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1633.9001
FDW14,OUT017,1379.3406
NCN55,OUT010,662.9421
FDQ58,OUT017,2430.0962
FDY38,OUT027,6422.8857
FDH56,OUT046,1908.3688
FDL48,OUT018,673.37726
FDC48,OUT027,2262.3552
FDN33,OUT045,1537.0786
FDA36,OUT017,3109.3489
FDT44,OUT017,1911.7742
FDQ56,OUT045,1399.5754
NCC54,OUT019,676.5242
FDU11,OUT049,2118.8677
DRL59,OUT013,830.7977
FDM24,OUT049,2412.3967
FDI57,OUT045,3100.9658
DRC12,OUT018,2831.7068
NCM42,OUT027,2773.2065
FDA46,OUT010,550.4694
FDA31,OUT013,2891.7402
NCJ31,OUT035,3899.9543
FDG52,OUT046,791.49695
NCL19,OUT019,373.8573
FDS10,OUT035,2894.8354
FDX22,OUT010,655.65594
NCF19,OUT035,805.49695
NCE06,OUT046,2599.6145
DRC27,OUT046,4020.9836
FDE21,OUT035,1922.369
NCR42,OUT019,46.798744
FDX51,OUT018,2816.5706
NCR06,OUT018,592.55707
FDU31,OUT027,5453.857
FDU59,OUT017,2647.3662
FDR03,OUT027,5386.7656
FDS49,OUT027,2215.8843
FDD48,OUT010,392.21622
NCF18,OUT017,3161.2876
NCD43,OUT027,2639.091
NCD54,OUT018,1814.1649
FDY19,OUT010,388.57693
NCY54,OUT017,2891.7402
NCL19,OUT018,2204.0012
FDP23,OUT010,638.0702
FDC26,OUT013,1871.1528
FDR14,OUT010,173.9125
NCS41,OUT035,3158.1924
FDF41,OUT035,3807.9624
FDU34,OUT046,2098.2844
DRH11,OUT046,940.60925
FDM03,OUT013,1648.3881
FDS31,OUT017,2891.7402
FDJ20,OUT017,2099.8108
FDV44,OUT027,5149.3257
FDG02,OUT049,3156.0598
FDA09,OUT013,2891.7402
FDT04,OUT013,723.8948
FDL58,OUT019,453.04767
FDE52,OUT045,1403.7682
FDW12,OUT035,2461.6824
FDL51,OUT017,3462.7456
NCY42,OUT027,3155.5378
FDR07,OUT017,1462.6074
FDN40,OUT045,2412.3967
FDB35,OUT027,2497.1458
FDA22,OUT017,2767.4707
NCL06,OUT046,3935.5808
FDI35,OUT013,2891.7402
NCW42,OUT045,3448.417
NCX06,OUT049,2903.0322
FDC37,OUT027,2639.091
FDZ14,OUT018,1856.6307
DRG49,OUT049,4139.4404
NCG06,OUT045,3923.0525
DRC36,OUT045,2877.7402
FDV21,OUT019,351.01587
FDB53,OUT046,2447.6824
DRP47,OUT019,831.9808
FDA14,OUT013,2453.8696
DRC24,OUT035,2458.043
FDW21,OUT018,1616.5157
NCH29,OUT046,1562.3655
FDU58,OUT013,3110.8875
FDY27,OUT017,2844.4353
FDV56,OUT035,1656.2007
FDT59,OUT046,3826.5544
FDB23,OUT046,3629.02
FDR49,OUT045,791.49695
FDB03,OUT010,697.0224
FDN39,OUT045,2661.7634
FDX02,OUT027,5730.158
FDQ16,OUT027,2635.4517
FDU35,OUT018,1500.6908
NCT29,OUT013,2108.1113
